create EgoNets       a) assign IDs        b) find triangles    c) cluster EgoNet    d) compact EgoNet    e) EgoNet subsets    f) EgoNet subsetCnt  g) clean up          split Personas       connect Personas     Persona Clustering   create Cover         
0.036693             0.0                  0.008617             0.020366             0.000935             0.001615             0.00094              0.0                  5.9e-05              0.00202              0.001787             0.000341             
0.042188             3e-06                0.009682             0.023432             0.001125             0.001813             0.001026             0.0                  6.2e-05              0.00201              0.001867             0.000365             
0.041645             1e-06                0.009662             0.023091             0.001105             0.001753             0.001017             0.0                  4.8e-05              0.001872             0.001793             0.000356             
0.038973             0.0                  0.008804             0.021652             0.00105              0.001665             0.001011             0.0                  5.8e-05              0.002077             0.001834             0.000372             
0.041202             0.0                  0.009469             0.022787             0.001115             0.001765             0.001026             0.0                  6e-05                0.002015             0.00178              0.000353             
0.043777             0.0                  0.010133             0.024443             0.001223             0.001897             0.001086             0.0                  7.8e-05              0.002668             0.002238             0.00043              
0.04118              1e-06                0.009507             0.022818             0.001145             0.001795             0.001017             0.0                  5.4e-05              0.001977             0.001857             0.000352             
0.040839             0.0                  0.009547             0.022674             0.001088             0.001702             0.001017             0.0                  7.1e-05              0.002155             0.001851             0.000364             
0.042855             1e-06                0.009756             0.023627             0.001195             0.001834             0.001019             0.0                  5.5e-05              0.001956             0.001774             0.000354             
0.041493             0.0                  0.009604             0.022912             0.001158             0.001768             0.001015             0.0                  6.4e-05              0.001988             0.00188              0.00038              
0.026362             1e-06                0.003702             0.015416             0.000573             0.000656             0.000811             0.0                  7.8e-05              0.000991             0.001042             0.000469             
0.023953             0.0                  0.003184             0.013945             0.000498             0.000497             0.000713             0.0                  4.1e-05              0.000794             0.000953             0.00044              
0.024118             0.0                  0.003224             0.014013             0.000567             0.000545             0.000684             0.0                  6.1e-05              0.00097              0.001042             0.000454             
0.02501              0.0                  0.003434             0.014623             0.000562             0.000481             0.000804             0.0                  4.8e-05              0.000888             0.001007             0.000455             
0.022984             0.0                  0.003051             0.013395             0.000476             0.000414             0.000559             0.0                  5.9e-05              0.000961             0.001024             0.000472             
0.025526             1e-06                0.003574             0.014925             0.000435             0.000601             0.000827             0.0                  7e-05                0.000917             0.001025             0.000454             
0.02379              1e-06                0.003176             0.013802             0.000488             0.000517             0.000708             0.0                  5.2e-05              0.000938             0.001079             0.000467             
0.025126             0.0                  0.00344              0.014675             0.000634             0.000482             0.000777             0.0                  4.4e-05              0.000833             0.001046             0.000468             
0.023699             0.0                  0.003147             0.013717             0.000488             0.000459             0.000695             0.0                  5.1e-05              0.000868             0.00099              0.000462             
0.022288             0.0                  0.002977             0.012801             0.000452             0.000437             0.000496             0.0                  4e-05                0.000734             0.000981             0.000443             
0.021483             0.0                  0.00253              0.012065             0.000579             0.00053              0.000616             0.0                  5e-05                0.000886             0.001235             0.000973             
0.021444             0.0                  0.002349             0.012162             0.000399             0.000533             0.000697             0.0                  5.2e-05              0.000884             0.001274             0.000988             
0.021602             0.0                  0.002381             0.012232             0.000679             0.000559             0.000709             0.0                  0.000117             0.001125             0.001235             0.000981             
0.0223               0.0                  0.002674             0.012718             0.00045              0.00051              0.000761             0.0                  6.7e-05              0.00101              0.00124              0.000968             
0.021317             1e-06                0.002361             0.012045             0.000646             0.000517             0.000665             0.0                  5.7e-05              0.000927             0.001187             0.000962             
0.021009             0.0                  0.002363             0.01195              0.000383             0.000438             0.000667             0.0                  4.2e-05              0.000764             0.001285             0.000967             
0.022126             0.0                  0.002399             0.012621             0.000481             0.00068              0.000675             0.0                  5.7e-05              0.00095              0.001422             0.001038             
0.022079             0.0                  0.00269              0.012466             0.000472             0.000645             0.000555             0.0                  4.7e-05              0.00088              0.001225             0.000989             
0.022237             1e-06                0.002546             0.012657             0.000441             0.00058              0.000711             0.0                  7.2e-05              0.00101              0.0012               0.000944             
0.02308              0.0                  0.002648             0.013213             0.00053              0.000626             0.000867             0.0                  5.3e-05              0.000901             0.001202             0.000954             
0.066021             0.0                  0.008993             0.047743             0.001634             0.00172              0.001008             0.0                  6.2e-05              0.002134             0.005602             0.000412             
0.06936              1e-06                0.009296             0.050214             0.001747             0.00173              0.001029             0.0                  7e-05                0.002154             0.007336             0.000415             
0.069865             1e-06                0.009545             0.050586             0.001721             0.001805             0.00097              0.0                  7e-05                0.002229             0.005947             0.000424             
0.067564             2e-06                0.008876             0.049219             0.001714             0.001637             0.001021             0.0                  5.9e-05              0.002014             0.005996             0.000429             
0.071478             2e-06                0.009486             0.052134             0.001823             0.001805             0.001011             0.0                  7.6e-05              0.002377             0.006806             0.000428             
0.066862             1e-06                0.009134             0.048353             0.001664             0.00165              0.001034             0.0                  6e-05                0.00199              0.005805             0.000407             
0.063142             1e-06                0.008753             0.045484             0.001608             0.001687             0.000857             0.0                  8.2e-05              0.002245             0.005374             0.000423             
