algo                     graph      F1       F1_rev   NMI      time     
Ego_PLM_clean_OSLOM      LFR_om_2   0.9981   0.9981   0.9920   8.0127   
Ego_PLM_clean_OSLOM      LFR_om_2   0.9949   0.9949   0.9855   8.9931   
Ego_PLM_clean_OSLOM      LFR_om_2   0.9927   0.9927   0.9777   8.1205   
Ego_PLM_clean_OSLOM      LFR_om_2   0.9956   0.9956   0.9840   8.6141   
Ego_PLM_clean_OSLOM      LFR_om_3   0.9544   0.9544   0.8809   34.3315  
Ego_PLM_clean_OSLOM      LFR_om_3   0.9531   0.9531   0.8739   31.0867  
Ego_PLM_clean_OSLOM      LFR_om_3   0.9513   0.9513   0.8752   31.5073  
Ego_PLM_clean_OSLOM      LFR_om_3   0.9591   0.9591   0.8911   28.1404  
Ego_PLM_clean_OSLOM      LFR_om_3   0.9567   0.9567   0.8826   29.4433  
Ego_PLM_clean_OSLOM      LFR_om_4   0.8718   0.7097   0.5509   66.9234  
Ego_PLM_clean_OSLOM      LFR_om_4   0.8889   0.7348   0.5818   54.2220  
Ego_PLM_clean_OSLOM      LFR_om_4   0.8899   0.7490   0.5915   47.7706  
Ego_PLM_clean_OSLOM      LFR_om_4   0.8737   0.7449   0.5894   65.1721  
Ego_PLM_clean_OSLOM      LFR_om_4   0.8604   0.7441   0.5749   65.3091  
Ego_PLM_clean_OSLOM      LFR_om_5   0.8491   0.3701   0.2255   40.9298  
Ego_PLM_clean_OSLOM      LFR_om_5   0.8788   0.4028   0.2614   37.1248  
Ego_PLM_clean_OSLOM      LFR_om_5   0.8586   0.3993   0.2566   31.3749  
Ego_PLM_clean_OSLOM      LFR_om_5   0.8591   0.3412   0.2078   26.2845  
Ego_PLM_clean_OSLOM      LFR_om_5   0.8332   0.3687   0.2228   29.7267  
Ego_PLM_clean_OSLOM      LFR_mu_00  0.9952   0.9844   0.9737   3.2087   
Ego_PLM_clean_OSLOM      LFR_mu_00  0.9922   0.9922   0.9677   3.5493   
Ego_PLM_clean_OSLOM      LFR_mu_00  0.9900   0.9900   0.9679   3.6241   
Ego_PLM_clean_OSLOM      LFR_mu_00  0.9940   0.9940   0.9741   3.0230   
Ego_PLM_clean_OSLOM      LFR_mu_00  0.9929   0.9848   0.9667   3.3692   
Ego_PLM_clean_OSLOM      LFR_mu_05  0.9849   0.9849   0.9454   3.6044   
Ego_PLM_clean_OSLOM      LFR_mu_05  0.9903   0.9903   0.9610   3.8249   
Ego_PLM_clean_OSLOM      LFR_mu_05  0.9908   0.9908   0.9629   3.7920   
Ego_PLM_clean_OSLOM      LFR_mu_05  0.9875   0.9875   0.9531   4.3708   
Ego_PLM_clean_OSLOM      LFR_mu_05  0.9910   0.9727   0.9489   3.6746   
Ego_PLM_clean_OSLOM      LFR_mu_10  0.9784   0.9703   0.9180   5.1236   
Ego_PLM_clean_OSLOM      LFR_mu_10  0.9858   0.9858   0.9493   4.3011   
Ego_PLM_clean_OSLOM      LFR_mu_10  0.9793   0.9708   0.9234   4.5032   
Ego_PLM_clean_OSLOM      LFR_mu_10  0.9819   0.9747   0.9294   3.9089   
Ego_PLM_clean_OSLOM      LFR_mu_10  0.9861   0.9766   0.9404   4.5174   
Ego_PLM_clean_OSLOM      LFR_mu_15  0.9617   0.9544   0.8783   4.5441   
Ego_PLM_clean_OSLOM      LFR_mu_15  0.9736   0.9658   0.9122   4.7431   
Ego_PLM_clean_OSLOM      LFR_mu_15  0.9762   0.9762   0.9141   4.1561   
Ego_PLM_clean_OSLOM      LFR_mu_15  0.9718   0.9637   0.8945   4.8986   
Ego_PLM_clean_OSLOM      LFR_mu_15  0.9675   0.9525   0.8773   5.0958   
Ego_PLM_clean_OSLOM      LFR_mu_20  0.9520   0.9188   0.8358   5.0885   
Ego_PLM_clean_OSLOM      LFR_mu_20  0.9566   0.9566   0.8643   5.6234   
Ego_PLM_clean_OSLOM      LFR_mu_20  0.9609   0.9453   0.8532   5.2803   
Ego_PLM_clean_OSLOM      LFR_mu_20  0.9303   0.9251   0.7856   4.3789   
Ego_PLM_clean_OSLOM      LFR_mu_20  0.9630   0.9261   0.8250   4.6957   
Ego_PLM_clean_OSLOM      LFR_mu_25  0.9281   0.9074   0.7672   6.5620   
Ego_PLM_clean_OSLOM      LFR_mu_25  0.9233   0.8843   0.7465   6.3349   
Ego_PLM_clean_OSLOM      LFR_mu_25  0.9341   0.9005   0.7724   5.4498   
Ego_PLM_clean_OSLOM      LFR_mu_25  0.9229   0.8820   0.7400   5.3805   
Ego_PLM_clean_OSLOM      LFR_mu_25  0.9382   0.9121   0.7897   6.1581   
Ego_PLM_clean_OSLOM      LFR_mu_30  0.8832   0.7745   0.6020   5.6962   
Ego_PLM_clean_OSLOM      LFR_mu_30  0.9056   0.8163   0.6747   6.2801   
Ego_PLM_clean_OSLOM      LFR_mu_30  0.9068   0.8109   0.6632   5.7568   
Ego_PLM_clean_OSLOM      LFR_mu_30  0.9016   0.8521   0.6839   5.4129   
Ego_PLM_clean_OSLOM      LFR_mu_30  0.8992   0.8717   0.7023   6.2730   
Ego_PLM_clean_OSLOM      LFR_mu_35  0.8595   0.7033   0.5285   5.6593   
Ego_PLM_clean_OSLOM      LFR_mu_35  0.8210   0.6507   0.4285   6.7421   
Ego_PLM_clean_OSLOM      LFR_mu_35  0.7937   0.5655   0.3583   7.5510   
Ego_PLM_clean_OSLOM      LFR_mu_35  0.8539   0.7396   0.5467   8.0391   
Ego_PLM_clean_OSLOM      LFR_mu_35  0.8627   0.6777   0.4783   5.6868   
Ego_PLM_clean_OSLOM      LFR_mu_40  0.7673   0.5175   0.3335   5.1788   
Ego_PLM_clean_OSLOM      LFR_mu_40  0.7568   0.5317   0.3057   5.2888   
Ego_PLM_clean_OSLOM      LFR_mu_40  0.7887   0.5764   0.3605   5.2745   
Ego_PLM_clean_OSLOM      LFR_mu_40  0.7487   0.4801   0.2723   5.7143   
Ego_PLM_clean_OSLOM      LFR_mu_40  0.7657   0.5332   0.3052   4.8454   
Ego_PLM_clean_OSLOM      LFR_mu_45  0.5749   0.3260   0.1228   2.5638   
